employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score
58208,Analytics,region_2,Bachelor's,m,other,1,43,5,4,1,0,83
54516,Analytics,region_2,Bachelor's,m,sourcing,2,35,3,8,0,0,83
66863,Analytics,region_14,Bachelor's,m,sourcing,2,30,4,1,1,0,85
67681,Analytics,region_11,Bachelor's,m,sourcing,1,31,5,9,1,0,85
20232,Analytics,region_2,Bachelor's,f,other,1,26,4,2,1,0,89
8158,Analytics,region_22,Bachelor's,m,sourcing,2,28,3,2,1,0,80
73268,Analytics,region_2,Bachelor's,m,sourcing,1,32,4,8,0,0,86
36629,Analytics,region_31,Bachelor's,m,sourcing,1,40,3,6,0,0,81
35379,Analytics,region_31,Bachelor's,m,other,3,29,5,6,1,0,87
38791,Analytics,region_22,Bachelor's,f,other,1,26,5,2,1,0,94
4508,Analytics,region_7,Bachelor's,m,sourcing,2,43,5,13,0,0,87
3530,Analytics,region_15,Bachelor's,m,other,2,27,3,3,0,0,87
27967,Analytics,region_31,Bachelor's,m,sourcing,2,29,4,3,0,1,86
29562,Analytics,region_6,Bachelor's,m,other,2,34,2,5,1,0,85
64809,Analytics,region_22,Bachelor's,m,sourcing,1,28,4,5,1,0,87
75928,Analytics,region_8,Bachelor's,m,other,1,38,5,9,0,0,88
50946,Analytics,region_30,Bachelor's,m,other,2,28,3,2,1,0,87
23766,Analytics,region_10,Bachelor's,m,other,1,27,3,2,1,0,82
4022,Analytics,region_14,Bachelor's,m,sourcing,1,27,5,4,1,0,81
71875,Analytics,region_21,Bachelor's,m,other,1,26,3,3,0,0,87
49810,Analytics,region_3,Bachelor's,m,other,2,30,3,2,1,1,84
40170,Analytics,region_11,Bachelor's,m,other,2,26,5,3,0,0,82
30387,Analytics,region_32,Bachelor's,m,sourcing,1,27,5,3,0,0,78
36038,Analytics,region_16,Bachelor's,m,other,1,26,4,4,0,0,88
28713,Analytics,region_7,Bachelor's,f,other,1,34,1,4,0,0,86
19744,Analytics,region_22,Bachelor's,m,sourcing,2,28,3,6,0,0,88
7941,Analytics,region_2,Bachelor's,m,other,2,34,3,7,1,0,85
20739,Analytics,region_22,Bachelor's,m,other,2,24,,1,0,0,83
75734,Analytics,region_27,Bachelor's,m,other,1,29,5,3,1,0,86
1083,Analytics,region_31,Bachelor's,m,other,1,37,3,6,1,0,83
76167,Analytics,region_26,Bachelor's,m,other,1,32,3,7,0,0,86
32807,Analytics,region_29,Bachelor's,m,other,2,32,1,7,0,0,87
29920,Analytics,region_34,Bachelor's,m,sourcing,1,28,3,5,0,0,77
5588,Analytics,region_7,Bachelor's,m,other,1,33,5,4,1,0,85
37414,Analytics,region_15,Bachelor's,m,other,1,40,5,11,0,0,87
1242,Analytics,region_34,Bachelor's,m,other,2,27,,1,0,0,83
57043,Analytics,region_22,Bachelor's,m,sourcing,1,32,3,6,0,0,83
43450,Analytics,region_22,Bachelor's,m,sourcing,1,26,,1,1,0,87
61573,Analytics,region_26,Bachelor's,m,other,2,30,3,9,0,0,85
45085,Analytics,region_7,Bachelor's,m,sourcing,1,29,3,2,0,0,84
66122,Analytics,region_2,Bachelor's,m,sourcing,1,28,,1,0,0,81
10514,Analytics,region_30,Bachelor's,m,other,2,30,2,3,1,0,81
60950,Analytics,region_26,Bachelor's,f,other,1,30,4,6,1,0,84
40441,Analytics,region_20,Bachelor's,m,sourcing,2,30,4,3,0,0,80
61905,Analytics,region_31,Bachelor's,f,sourcing,1,30,3,6,0,0,87
14583,Analytics,region_22,Bachelor's,m,other,2,30,2,7,1,0,96
46588,Analytics,region_30,Bachelor's,m,other,1,28,1,7,0,0,82
6229,Analytics,region_29,Bachelor's,m,sourcing,1,30,3,6,0,0,82
19261,Analytics,region_2,Bachelor's,m,sourcing,4,34,3,8,0,0,81
43503,Analytics,region_29,Bachelor's,m,sourcing,1,28,5,5,1,0,85
69465,Analytics,region_28,Bachelor's,m,other,2,31,3,5,1,0,78
36600,Analytics,region_15,Bachelor's,m,sourcing,2,35,3,9,0,0,83
18039,Analytics,region_22,Bachelor's,m,other,1,33,1,7,0,0,84
60907,Analytics,region_31,Bachelor's,m,sourcing,2,29,5,5,1,0,83
65363,Analytics,region_8,Bachelor's,m,other,1,26,,1,0,0,92
24165,Analytics,region_32,Bachelor's,m,sourcing,1,27,,1,0,0,90
28307,Analytics,region_24,Bachelor's,m,sourcing,2,29,4,2,0,0,84
63402,Analytics,region_2,Bachelor's,m,sourcing,1,39,3,4,0,0,88
14496,Analytics,region_29,Bachelor's,m,other,1,26,4,4,1,1,87
21804,Analytics,region_2,Bachelor's,m,sourcing,2,32,4,6,1,0,85
51368,Analytics,region_7,Bachelor's,m,sourcing,1,36,4,8,1,0,81
37562,Analytics,region_34,Bachelor's,m,sourcing,1,33,4,3,0,0,83
40673,Analytics,region_28,Bachelor's,m,sourcing,1,31,5,7,1,0,89
25800,Analytics,region_29,Bachelor's,m,other,2,30,4,9,1,0,79
21564,Analytics,region_22,Bachelor's,m,sourcing,1,32,3,6,1,0,80
24885,Analytics,region_2,Bachelor's,m,other,1,36,5,9,0,0,85
22374,Analytics,region_22,Bachelor's,m,other,2,29,1,3,1,0,88
227,Analytics,region_23,Bachelor's,m,sourcing,1,34,4,3,1,0,84
58070,Analytics,region_22,Bachelor's,f,other,2,27,,1,1,0,84
42180,Analytics,region_7,Bachelor's,m,sourcing,1,30,5,5,1,0,83
14488,Analytics,region_26,Bachelor's,m,other,2,33,3,6,0,0,84
28227,Analytics,region_7,Bachelor's,m,other,1,41,5,11,1,0,84
54750,Analytics,region_13,Bachelor's,m,other,2,32,3,5,1,0,77
56053,Analytics,region_22,Bachelor's,m,other,1,27,2,3,1,0,84
23630,Analytics,region_21,Bachelor's,m,other,1,32,3,4,0,0,86
61584,Analytics,region_2,Bachelor's,m,sourcing,1,31,5,5,0,0,81
16565,Analytics,region_22,Bachelor's,m,other,4,25,4,3,0,0,82
57809,Analytics,region_3,Bachelor's,m,sourcing,1,30,1,5,0,0,87
24398,Analytics,region_22,Bachelor's,m,other,1,43,3,18,0,0,82
74715,Analytics,region_7,Bachelor's,m,sourcing,1,40,3,10,1,0,84
6280,Analytics,region_19,Bachelor's,m,sourcing,1,36,4,8,0,0,83
69943,Analytics,region_22,Bachelor's,m,sourcing,2,30,4,2,0,0,82
76771,Analytics,region_32,Bachelor's,f,sourcing,1,29,5,2,0,0,85
65499,Analytics,region_26,Bachelor's,m,other,1,35,1,10,0,0,89
11793,Analytics,region_15,Bachelor's,m,other,2,36,4,8,1,0,79
916,Analytics,region_2,Bachelor's,m,sourcing,2,34,3,10,0,0,85
42876,Analytics,region_31,Bachelor's,m,other,1,35,4,4,0,0,85
27781,Analytics,region_22,Bachelor's,m,sourcing,1,29,4,4,0,0,85
39017,Analytics,region_28,Bachelor's,m,sourcing,1,36,5,7,0,0,83
72376,Analytics,region_22,Bachelor's,f,sourcing,1,30,4,5,1,0,81
73506,Analytics,region_29,Bachelor's,m,other,3,29,4,6,1,0,86
60017,Analytics,region_32,Bachelor's,m,other,2,31,4,5,0,0,85
41713,Analytics,region_20,Bachelor's,m,other,1,30,5,9,1,0,85
9237,Analytics,region_32,Bachelor's,m,sourcing,1,28,2,5,1,0,84
51743,Analytics,region_29,Bachelor's,m,other,1,28,,1,0,0,84
70088,Analytics,region_32,Bachelor's,m,sourcing,2,30,3,3,0,0,84
58934,Analytics,region_31,Bachelor's,m,other,1,29,5,2,0,0,85
2396,Analytics,region_2,Bachelor's,m,other,1,41,4,5,0,0,88
9042,Analytics,region_32,Bachelor's,m,sourcing,2,36,4,8,0,0,85
5462,Analytics,region_22,Bachelor's,m,sourcing,2,30,5,7,1,0,87
44706,Analytics,region_29,Bachelor's,m,sourcing,1,38,3,3,0,0,84
74624,Analytics,region_22,Bachelor's,f,other,1,30,5,3,1,1,81
11393,Analytics,region_32,Bachelor's,m,sourcing,1,26,5,3,1,0,84
26680,Analytics,region_7,Bachelor's,m,other,2,42,5,6,1,0,83
12629,Analytics,region_30,Bachelor's,m,sourcing,1,32,3,5,1,0,87
30151,Analytics,region_19,Bachelor's,m,sourcing,1,34,5,7,1,0,83
9178,Analytics,region_9,Bachelor's,m,other,2,29,3,1,0,0,80
68979,Analytics,region_7,Bachelor's,m,sourcing,1,38,2,5,0,0,82
23277,Analytics,region_23,Bachelor's,m,other,1,28,3,3,0,0,85
7702,Analytics,region_28,Bachelor's,m,other,3,29,4,5,0,0,83
40710,Analytics,region_29,Bachelor's,m,sourcing,1,25,,1,0,0,85
27003,Analytics,region_30,Bachelor's,m,other,1,29,3,5,0,0,89
75956,Analytics,region_22,Bachelor's,f,sourcing,1,26,3,2,0,0,84
48557,Analytics,region_22,Bachelor's,f,other,1,28,2,3,0,0,86
19401,Analytics,region_5,Bachelor's,m,sourcing,1,27,3,5,0,0,90
25858,Analytics,region_32,Bachelor's,m,other,1,34,2,8,0,0,83
12057,Analytics,region_4,Bachelor's,m,sourcing,1,30,5,1,1,0,84
23749,Analytics,region_19,Bachelor's,m,sourcing,1,28,3,6,0,0,83
21477,Analytics,region_22,Bachelor's,m,other,2,27,,1,1,0,85
44834,Analytics,region_25,Bachelor's,f,sourcing,1,29,3,8,0,0,84
35884,Analytics,region_20,Bachelor's,m,other,1,27,3,3,0,0,86
13165,Analytics,region_11,Bachelor's,m,other,1,31,3,6,0,1,85
19074,Analytics,region_29,Bachelor's,m,other,1,26,,1,0,0,82
68778,Analytics,region_16,Bachelor's,m,other,1,30,5,7,1,0,88
7660,Analytics,region_26,Bachelor's,f,other,1,30,5,1,1,0,84
74771,Analytics,region_2,Bachelor's,f,other,1,29,,1,0,0,85
52388,Analytics,region_22,Bachelor's,f,sourcing,2,31,3,6,1,0,89
42011,Analytics,region_22,Bachelor's,m,other,2,29,4,3,0,0,88
60231,Analytics,region_6,Bachelor's,f,sourcing,1,32,2,7,0,0,83
5265,Analytics,region_4,Bachelor's,m,sourcing,1,27,5,2,1,0,84
41324,Analytics,region_31,Bachelor's,m,other,1,27,4,3,1,0,86
6560,Analytics,region_13,Bachelor's,m,other,2,24,3,1,0,0,80
72511,Analytics,region_4,Bachelor's,m,sourcing,1,32,3,5,0,0,85
23831,Analytics,region_15,Bachelor's,m,sourcing,1,30,4,5,0,0,86
27270,Analytics,region_17,Bachelor's,m,sourcing,1,32,3,4,1,0,87
65710,Analytics,region_26,Bachelor's,m,other,2,27,,1,0,0,84
3977,Analytics,region_19,Bachelor's,m,other,2,36,3,6,1,0,83
34218,Analytics,region_1,Bachelor's,m,other,1,27,,1,1,0,82
19274,Analytics,region_13,Bachelor's,m,sourcing,2,34,3,8,0,0,85
31721,Analytics,region_2,Bachelor's,m,sourcing,5,26,,1,1,0,84
77739,Analytics,region_3,Bachelor's,m,other,1,29,3,7,1,0,83
17601,Analytics,region_31,Bachelor's,m,sourcing,2,29,3,2,0,0,87
23282,Analytics,region_22,Bachelor's,f,sourcing,1,29,5,4,0,0,82
27370,Analytics,region_34,Bachelor's,m,sourcing,1,27,3,4,0,0,82
46622,Analytics,region_32,Bachelor's,m,sourcing,2,30,3,4,0,0,83
4803,Analytics,region_32,Bachelor's,m,other,2,30,3,3,0,0,89
50997,Analytics,region_22,Bachelor's,f,other,1,27,5,2,0,0,88
15199,Analytics,region_26,Bachelor's,f,other,1,26,,1,0,0,89
49795,Analytics,region_22,Bachelor's,f,other,3,30,3,4,0,0,84
1192,Analytics,region_11,Bachelor's,m,sourcing,1,29,5,3,1,0,81
8385,Analytics,region_11,Bachelor's,m,sourcing,2,32,3,2,0,0,81
25807,Analytics,region_26,Bachelor's,m,other,1,28,,1,1,0,83
40669,Analytics,region_22,Bachelor's,m,other,1,25,3,2,1,0,84
52150,Analytics,region_26,Bachelor's,m,other,1,26,1,4,0,0,88
45606,Analytics,region_4,Bachelor's,m,other,1,30,,1,0,0,85
25889,Analytics,region_22,Bachelor's,f,sourcing,1,31,3,5,1,1,85
21,Analytics,region_8,Bachelor's,m,sourcing,2,28,2,3,1,0,85
76517,Analytics,region_29,Bachelor's,m,other,1,27,2,2,1,0,83
9568,Analytics,region_2,Bachelor's,m,other,1,30,5,4,1,1,83
75727,Analytics,region_32,Bachelor's,m,other,1,27,,1,0,0,83
61090,Analytics,region_22,Bachelor's,m,other,2,33,3,2,1,1,99
47495,Analytics,region_26,Bachelor's,m,other,1,30,4,7,0,0,85
36971,Analytics,region_34,Bachelor's,m,other,1,28,3,2,0,0,84
1746,Analytics,region_29,Bachelor's,f,other,1,32,4,6,0,0,87
53875,Analytics,region_2,Bachelor's,m,sourcing,1,28,4,2,0,0,84
29590,Analytics,region_2,Bachelor's,m,sourcing,1,58,4,13,1,0,88
38025,Analytics,region_22,Bachelor's,m,other,1,32,1,6,0,0,83
76714,Analytics,region_11,Bachelor's,m,other,1,48,5,16,1,0,79
30851,Analytics,region_7,Bachelor's,m,other,1,30,5,4,1,0,83
69182,Analytics,region_2,Bachelor's,m,other,2,39,5,7,0,0,87
10373,Analytics,region_7,Bachelor's,m,other,1,29,5,2,0,0,85
56997,Analytics,region_2,Bachelor's,m,other,1,37,4,3,1,0,84
44308,Analytics,region_5,Bachelor's,m,sourcing,1,26,4,3,1,0,91
39957,Analytics,region_23,Bachelor's,m,other,3,33,3,2,0,0,81
9318,Analytics,region_22,Bachelor's,f,other,2,25,5,2,0,0,80
43607,Analytics,region_31,Bachelor's,m,other,2,28,4,3,1,0,83
31325,Analytics,region_22,Bachelor's,m,other,1,34,5,5,0,0,86
32851,Analytics,region_15,Bachelor's,m,other,2,34,3,6,0,0,85
74888,Analytics,region_22,Bachelor's,m,other,1,24,,1,1,0,88
66519,Analytics,region_31,Bachelor's,m,sourcing,2,30,1,4,0,0,86
76923,Analytics,region_28,Bachelor's,m,sourcing,1,33,3,8,0,0,81
13728,Analytics,region_14,Bachelor's,m,other,1,30,3,5,0,0,85
51057,Analytics,region_22,Bachelor's,m,other,2,29,3,6,0,0,82
45055,Analytics,region_22,Bachelor's,m,sourcing,3,29,,1,1,0,87
46359,Analytics,region_5,Bachelor's,m,other,2,28,3,2,0,0,85
12234,Analytics,region_22,Bachelor's,m,other,1,36,5,3,0,0,85
33718,Analytics,region_28,Bachelor's,m,other,1,40,4,10,0,0,86
27597,Analytics,region_31,Bachelor's,m,other,1,30,3,3,0,0,81
16674,Analytics,region_2,Bachelor's,m,sourcing,1,34,5,3,0,0,82
70063,Analytics,region_27,Bachelor's,m,other,2,28,3,2,1,1,79
73014,Analytics,region_26,Bachelor's,m,other,1,30,2,5,0,0,84
19556,Analytics,region_20,Bachelor's,m,other,1,29,3,3,0,0,88
27861,Analytics,region_26,Bachelor's,m,sourcing,2,43,5,4,1,0,86
64366,Analytics,region_29,Bachelor's,f,other,1,28,5,4,1,0,83
70909,Analytics,region_21,Bachelor's,m,other,2,28,3,3,1,0,88
68776,Analytics,region_26,Bachelor's,m,sourcing,1,28,5,2,1,0,81
10528,Analytics,region_27,Bachelor's,m,sourcing,2,29,3,2,0,0,82
75781,Analytics,region_25,Bachelor's,m,sourcing,1,28,3,6,1,0,85
27852,Analytics,region_13,Bachelor's,m,other,1,40,3,6,0,0,83
69557,Analytics,region_22,Bachelor's,m,other,3,28,3,7,0,0,85
48088,Analytics,region_26,Bachelor's,m,sourcing,2,40,5,5,0,1,86
51241,Analytics,region_32,Bachelor's,m,other,2,24,,1,0,0,82
55837,Analytics,region_32,Bachelor's,f,other,1,34,5,2,1,0,82
30526,Analytics,region_2,Bachelor's,m,sourcing,1,37,5,7,1,0,84
8115,Analytics,region_6,Bachelor's,f,other,1,26,,1,1,0,90
3836,Analytics,region_2,Bachelor's,m,sourcing,1,40,3,6,0,0,85
38669,Analytics,region_2,Bachelor's,m,other,1,53,3,16,0,0,89
36402,Analytics,region_9,Bachelor's,m,sourcing,2,28,2,3,0,0,83
31032,Analytics,region_32,Bachelor's,m,sourcing,4,28,,1,0,0,85
2522,Analytics,region_22,Bachelor's,m,other,1,28,3,2,0,0,84
44903,Analytics,region_7,Bachelor's,m,other,1,31,4,7,1,0,81
77316,Analytics,region_34,Bachelor's,m,other,1,30,,1,0,0,83
18876,Analytics,region_28,Bachelor's,m,other,2,28,3,4,0,0,86
42145,Analytics,region_22,Bachelor's,f,sourcing,1,26,1,4,0,0,88
23754,Analytics,region_22,Bachelor's,m,other,1,30,1,4,0,0,82
36074,Analytics,region_19,Bachelor's,m,sourcing,1,31,3,6,0,0,88
21377,Analytics,region_13,Bachelor's,m,sourcing,1,39,3,10,0,0,83
40793,Analytics,region_22,Bachelor's,f,other,1,29,4,5,1,0,87
57837,Analytics,region_15,Bachelor's,m,sourcing,1,32,3,5,0,0,85
59993,Analytics,region_29,Bachelor's,m,sourcing,1,31,5,8,0,0,82
3986,Analytics,region_27,Bachelor's,m,other,1,39,3,10,0,0,84
36040,Analytics,region_15,Bachelor's,m,sourcing,1,31,5,7,0,0,83
12216,Analytics,region_13,Bachelor's,m,other,1,38,3,4,0,0,86
18487,Analytics,region_7,Bachelor's,m,sourcing,1,28,5,4,1,0,88
5862,Analytics,region_17,Bachelor's,m,sourcing,2,37,4,10,0,0,89
47348,Analytics,region_6,Bachelor's,m,other,2,27,,1,1,1,86
41859,Analytics,region_26,Bachelor's,m,other,1,33,4,5,1,0,86
75464,Analytics,region_15,Bachelor's,m,other,1,33,3,6,1,0,87
56307,Analytics,region_22,Bachelor's,m,other,1,30,3,2,1,0,85
60740,Analytics,region_29,Bachelor's,m,other,1,25,5,2,1,0,80
24208,Analytics,region_32,Bachelor's,m,other,3,27,3,4,0,0,82
70385,Analytics,region_16,Bachelor's,m,other,1,33,3,4,0,0,84
47334,Analytics,region_22,Bachelor's,f,other,1,31,3,6,0,0,87
49072,Analytics,region_22,Bachelor's,m,other,1,38,3,7,0,0,82
53941,Analytics,region_2,Bachelor's,m,other,1,28,3,3,0,0,83
24810,Analytics,region_26,Bachelor's,m,sourcing,2,39,5,3,1,0,82
46913,Analytics,region_22,Bachelor's,m,referred,2,33,5,5,1,0,88
14098,Analytics,region_26,Bachelor's,m,other,1,32,3,6,0,0,83
68761,Analytics,region_28,Bachelor's,m,other,2,32,3,6,0,0,81
5808,Analytics,region_27,Bachelor's,m,sourcing,1,28,1,3,1,0,86
36095,Analytics,region_25,Bachelor's,m,other,1,32,5,5,1,0,86
32396,Analytics,region_23,Bachelor's,m,other,1,32,3,7,1,0,90
36557,Analytics,region_28,Bachelor's,m,other,1,31,3,5,0,1,84
53404,Analytics,region_7,Bachelor's,m,sourcing,2,27,,1,0,0,86
32772,Analytics,region_22,Bachelor's,f,sourcing,1,27,,1,1,0,83
35880,Analytics,region_22,Bachelor's,m,other,2,30,3,3,1,0,79
66357,Analytics,region_2,Bachelor's,m,other,2,29,3,3,0,0,84
71691,Analytics,region_22,Bachelor's,m,other,1,28,5,6,1,0,90
19108,Analytics,region_2,Bachelor's,m,sourcing,1,45,5,18,1,0,85
64615,Analytics,region_31,Bachelor's,m,other,2,32,4,8,0,0,83
60392,Analytics,region_28,Bachelor's,m,sourcing,1,34,4,6,1,0,85
62797,Analytics,region_28,Bachelor's,m,sourcing,1,32,5,5,1,0,84
51076,Analytics,region_31,Bachelor's,m,sourcing,1,37,5,8,1,0,88
21223,Analytics,region_31,Bachelor's,m,sourcing,1,27,,1,0,0,81
70855,Analytics,region_22,Bachelor's,m,sourcing,2,28,4,5,0,0,91
64386,Analytics,region_22,Bachelor's,m,other,2,35,5,7,1,0,87
63918,Analytics,region_7,Bachelor's,f,other,1,27,,1,1,0,85
41351,Analytics,region_13,Bachelor's,m,sourcing,1,31,5,3,1,0,99
35268,Analytics,region_22,Bachelor's,m,sourcing,1,23,4,2,1,0,82
20267,Analytics,region_29,Bachelor's,m,sourcing,1,26,3,2,1,0,85
34066,Analytics,region_28,Bachelor's,m,other,1,35,3,5,0,0,89
52392,Analytics,region_27,Bachelor's,m,other,2,25,3,2,0,0,88
16268,Analytics,region_2,Bachelor's,m,other,2,27,3,7,1,0,85
726,Analytics,region_9,Bachelor's,m,other,3,29,3,5,0,0,84
30740,Analytics,region_32,Bachelor's,m,sourcing,1,29,,1,0,0,87
68141,Analytics,region_31,Bachelor's,m,sourcing,1,34,3,5,0,0,87
64893,Analytics,region_16,Bachelor's,m,sourcing,2,30,,1,1,0,83
30653,Analytics,region_9,Bachelor's,m,other,2,28,4,6,0,0,89
59369,Analytics,region_29,Bachelor's,m,sourcing,1,28,1,2,1,0,86
59213,Analytics,region_31,Bachelor's,m,other,1,31,3,2,0,0,81
76615,Analytics,region_20,Bachelor's,m,other,1,26,1,5,0,0,84
73110,Analytics,region_2,Bachelor's,m,sourcing,2,38,5,8,0,0,82
77567,Analytics,region_11,Bachelor's,m,sourcing,2,36,3,7,0,0,83
69234,Analytics,region_32,Bachelor's,m,sourcing,1,34,3,6,0,0,83
12654,Analytics,region_7,Bachelor's,m,sourcing,1,26,3,2,0,0,84
44379,Analytics,region_2,Bachelor's,m,other,1,29,,1,0,0,87
56603,Analytics,region_6,Bachelor's,m,sourcing,1,35,3,3,1,1,84
43531,Analytics,region_10,Bachelor's,m,other,3,29,5,6,0,0,81
11036,Analytics,region_22,Bachelor's,m,sourcing,1,44,5,4,1,0,87
76767,Analytics,region_7,Bachelor's,m,other,2,31,5,4,0,0,85
39372,Analytics,region_28,Bachelor's,m,other,3,26,4,5,0,0,88
76087,Analytics,region_29,Bachelor's,m,other,2,28,4,4,0,0,83
51280,Analytics,region_7,Bachelor's,m,sourcing,1,31,5,3,1,0,86
24977,Analytics,region_25,Bachelor's,m,sourcing,1,36,1,3,0,0,78
24127,Analytics,region_20,Bachelor's,m,other,1,29,,1,1,0,86
20391,Analytics,region_27,Bachelor's,m,other,1,38,3,5,0,0,87
21583,Analytics,region_19,Bachelor's,m,sourcing,1,32,4,5,0,0,85
13552,Analytics,region_2,Bachelor's,m,sourcing,2,29,3,5,0,0,81
14449,Analytics,region_7,Bachelor's,m,other,2,29,3,2,0,0,84
